-7.78993X ;5.13397X ;0.999993x ;3.00001x ;9,33884e-11; x ;1x ;130x ;0.999999x ;3x ;2,38612e-12; x ;1x ;43x ;0.999981x ;3x ;1,25006e-09; x ;1x ;255x ;255x 
-2.30446X ;5.40814X ;0.999993x ;3.00001x ;9,04265e-11; x ;1x ;124x ;0.999998x ;3x ;4,62588e-12; x ;1x ;40x ;0.999984x ;3.00001x ;4,48166e-10; x ;1x ;240x ;240x 
-7.80115X ;7.56214X ;0.999993x ;3.00001x ;9,16927e-11; x ;1x ;132x ;0.999999x ;3x ;3,10172e-12; x ;1x ;43x ;0.999983x ;3.00001x ;6,68835e-10; x ;1x ;257x ;257x 
-8.20247X ;1.53577X ;0.999993x ;3.00001x ;8,81794e-11; x ;1x ;127x ;0.999999x ;3x ;3,19697e-12; x ;1x ;42x ;0.999981x ;3x ;2,36044e-09; x ;1x ;256x ;256x 
4.64632X ;-2.32326X ;1.00001x ;2.99999x ;9,59648e-11; x ;1x ;128x ;1x ;3x ;2,60808e-12; x ;1x ;42x ;1.00001x ;2.99998x ;4,72292e-10; x ;1x ;249x ;249x 
-9.16284X ;0.431259X ;0.999993x ;3.00001x ;8,4925e-11; x ;1x ;127x ;0.999999x ;3x ;3,25563e-12; x ;1x ;42x ;0.999981x ;3x ;2,68998e-09; x ;1x ;258x ;258x 
-2.09625X ;-2.22431X ;1.00001x ;2.99999x ;8,36046e-11; x ;1x ;115x ;1x ;3x ;2,82737e-12; x ;1x ;39x ;0.99999x ;2.99998x ;3,10545e-09; x ;1x ;248x ;248x 
3.31535X ;1.72464X ;1.00001x ;2.99999x ;8,29945e-11; x ;1x ;120x ;1x ;3x ;4,52175e-12; x ;1x ;39x ;1.00002x ;2.99999x ;6,40418e-10; x ;1x ;231x ;231x 
5.11333X ;-0.923745X ;1.00001x ;2.99999x ;9,51214e-11; x ;1x ;127x ;1x ;3x ;3,12783e-12; x ;1x ;41x ;1.00001x ;2.99999x ;3,94368e-10; x ;1x ;246x ;246x 
-0.987022X ;-7.33311X ;1.00001x ;2.99999x ;8,3087e-11; x ;1x ;128x ;1x ;3x ;3,79628e-12; x ;1x ;42x ;0.999996x ;2.99998x ;2,54669e-09; x ;1x ;258x ;258x 
-4.90762X ;-9.12223X ;1.00001x ;2.99999x ;8,66843e-11; x ;1x ;125x ;1x ;3x ;2,41245e-12; x ;1x ;42x ;0.999991x ;2.99998x ;3,1482e-09; x ;1x ;263x ;263x 
7.74122X ;9.13999X ;1.00001x ;2.99999x ;8,36625e-11; x ;1x ;103x ;1x ;3x ;2,30736e-12; x ;1x ;36x ;1.00001x ;3.00001x ;3,25289e-09; x ;1x ;256x ;256x 
-8.61495X ;7.02367X ;0.999993x ;3.00001x ;9,55099e-11; x ;1x ;132x ;0.999999x ;3x ;3,409e-12; x ;1x ;43x ;0.999982x ;3.00001x ;8,29024e-10; x ;1x ;258x ;258x 
-9.94919X ;2.1785X ;0.999993x ;3.00001x ;9,90999e-11; x ;1x ;129x ;0.999999x ;3x ;2,48027e-12; x ;1x ;43x ;0.99998x ;3x ;2,16037e-09; x ;1x ;259x ;259x 
-7.6205X ;6.94946X ;0.999994x ;3.00001x ;8,11288e-11; x ;1x ;132x ;0.999999x ;3x ;2,83723e-12; x ;1x ;43x ;0.999982x ;3.00001x ;7,71732e-10; x ;1x ;256x ;256x 
-1.31694X ;-0.505129X ;1.00001x ;2.99999x ;9,22832e-11; x ;1x ;109x ;1x ;3x ;4,13889e-12; x ;1x ;37x ;0.999989x ;2.99998x ;3,44553e-09; x ;1x ;240x ;240x 
-1.21949X ;6.10204X ;0.999993x ;3.00001x ;9,68756e-11; x ;1x ;123x ;0.999999x ;3x ;4,08542e-12; x ;1x ;40x ;0.999989x ;3.00002x ;4,40082e-10; x ;1x ;239x ;239x 
1.92885X ;9.72443X ;0.999993x ;3.00001x ;9,30726e-11; x ;1x ;124x ;0.999999x ;3x ;3,79266e-12; x ;1x ;41x ;1x ;3.00002x ;2,2599e-09; x ;1x ;250x ;250x 
-3.46467X ;9.92494X ;0.999994x ;3.00001x ;8,22318e-11; x ;1x ;131x ;0.999998x ;3x ;4,37739e-12; x ;1x ;42x ;0.99999x ;3.00002x ;4,92496e-10; x ;1x ;254x ;254x 
2.31943X ;-8.59812X ;1.00001x ;2.99999x ;8,56776e-11; x ;1x ;132x ;1x ;3x ;3,57932e-12; x ;1x ;43x ;1x ;2.99998x ;1,61485e-09; x ;1x ;260x ;260x 
-7.63587X ;-9.94983X ;1.00001x ;2.99999x ;9,70341e-11; x ;1x ;121x ;1x ;3x ;2,55734e-12; x ;1x ;41x ;0.999989x ;2.99998x ;3,28835e-09; x ;1x ;266x ;266x 
6.00363X ;5.24333X ;1.00001x ;2.99999x ;9,22882e-11; x ;1x ;117x ;1x ;3x ;4,56046e-12; x ;1x ;39x ;1.00002x ;3.00001x ;2,91767e-09; x ;1x ;246x ;246x 
7.64843X ;4.68858X ;1.00001x ;2.99999x ;8,41548e-11; x ;1x ;123x ;1x ;3x ;2,96964e-12; x ;1x ;41x ;1.00002x ;3x ;2,62023e-09; x ;1x ;250x ;250x 
8.69791X ;-3.23234X ;1.00001x ;2.99999x ;9,96381e-11; x ;1x ;132x ;1x ;3x ;2,46309e-12; x ;1x ;43x ;1.00002x ;2.99999x ;4,19388e-10; x ;1x ;257x ;257x 
-3.74399X ;-4.43193X ;1.00001x ;2.99999x ;8,75124e-11; x ;1x ;117x ;1x ;3x ;4,55431e-12; x ;1x ;39x ;0.99999x ;2.99998x ;3,23708e-09; x ;1x ;255x ;255x 
8.58123X ;-5.99228X ;1.00001x ;2.99999x ;9,25352e-11; x ;1x ;134x ;1x ;3x ;3,29561e-12; x ;1x ;43x ;1.00001x ;2.99998x ;4,2274e-10; x ;1x ;260x ;260x 
-2.84281X ;6.32118X ;0.999993x ;3.00001x ;9,33055e-11; x ;1x ;126x ;0.999999x ;3x ;2,70378e-12; x ;1x ;41x ;0.999985x ;3.00001x ;4,01047e-10; x ;1x ;244x ;244x 
