579X ;21X ;0.200007X ;0.0100574X ;0.123874X ;3.26343e-06X ;69
376X ;48X ;0.200146X ;0.0100075X ;0.122734X ;3.27968e-06X ;70
908X ;21X ;0.200012X ;0.010009X ;0.122688X ;3.2792e-06X ;78
400X ;14X ;0.200028X ;0.0100141X ;0.122822X ;3.27754e-06X ;29
798X ;31X ;0.200014X ;0.0100217X ;0.123001X ;3.27504e-06X ;22
289X ;14X ;0.200023X ;0.0100003X ;0.122481X ;3.28206e-06X ;78
843X ;26X ;0.200659X ;0.0100001X ;0.122866X ;3.28213e-06X ;10
490X ;10X ;0.200089X ;0.0100017X ;0.122557X ;3.28158e-06X ;22
247X ;44X ;0.200028X ;0.0100053X ;0.122606X ;3.28042e-06X ;72
446X ;40X ;0.200084X ;0.0100049X ;0.122632X ;3.28053e-06X ;76
339X ;49X ;0.20465X ;0.0100392X ;0.126292X ;3.26932e-06X ;12
956X ;48X ;0.200003X ;0.0100126X ;0.122769X ;3.27804e-06X ;80
466X ;47X ;0.200002X ;0.0100008X ;0.12248X ;3.2819e-06X ;78
697X ;50X ;0.20003X ;0.0100004X ;0.122488X ;3.28202e-06X ;78
318X ;19X ;0.200002X ;0.0100054X ;0.122594X ;3.28037e-06X ;78
566X ;22X ;0.200059X ;0.0100223X ;0.123042X ;3.27486e-06X ;26
725X ;36X ;0.200027X ;0.0100006X ;0.122492X ;3.28195e-06X ;12
847X ;29X ;0.200014X ;0.0100046X ;0.122582X ;3.28064e-06X ;16
590X ;11X ;0.200035X ;0.0100025X ;0.122541X ;3.28135e-06X ;18
499X ;19X ;0.200071X ;0.0100335X ;0.123326X ;3.27119e-06X ;68
635X ;28X ;0.200016X ;0.0100063X ;0.122624X ;3.28009e-06X ;78
226X ;19X ;0.200021X ;0.0100011X ;0.1225X ;3.28179e-06X ;23
211X ;19X ;0.200002X ;0.0100546X ;0.123801X ;3.26434e-06X ;71
652X ;16X ;0.20002X ;0.0100012X ;0.122502X ;3.28176e-06X ;78
296X ;25X ;0.200004X ;0.0100105X ;0.122719X ;3.27871e-06X ;14
404X ;23X ;0.200001X ;0.0100038X ;0.122553X ;3.28091e-06X ;76
265X ;18X ;0.206927X ;0.010357X ;0.13591X ;3.16901e-06X ;12
326X ;44X ;0.200021X ;0.0100103X ;0.122725X ;3.27878e-06X ;68
387X ;14X ;0.200123X ;0.0100533X ;0.123844X ;3.26476e-06X ;22
583X ;33X ;0.200056X ;0.0116873X ;0.167317X ;2.80832e-06X ;65
975X ;35X ;0.200003X ;0.0100042X ;0.122565X ;3.28077e-06X ;78
827X ;14X ;0.200069X ;0.010108X ;0.125161X ;3.2471e-06X ;30
681X ;16X ;0.200036X ;0.0100078X ;0.122672X ;3.2796e-06X ;46
564X ;13X ;0.200081X ;0.010003X ;0.122583X ;3.28117e-06X ;18
812X ;40X ;0.200084X ;0.0100056X ;0.122647X ;3.28033e-06X ;28
663X ;46X ;0.200082X ;0.0100025X ;0.122572X ;3.28133e-06X ;18
974X ;21X ;0.200001X ;0.0100013X ;0.122492X ;3.28172e-06X ;83
246X ;30X ;0.200004X ;0.0100023X ;0.122519X ;3.28139e-06X ;74
780X ;16X ;0.200284X ;0.0100088X ;0.122849X ;3.27928e-06X ;10
653X ;12X ;0.200055X ;0.0100047X ;0.12261X ;3.2806e-06X ;12
724X ;50X ;0.200657X ;0.0100008X ;0.122883X ;3.28188e-06X ;12
896X ;40X ;0.200007X ;0.0100005X ;0.122476X ;3.28199e-06X ;76
279X ;19X ;0.200066X ;0.010022X ;0.12304X ;3.27495e-06X ;18
833X ;11X ;0.200023X ;0.0101179X ;0.125378X ;3.24391e-06X ;14
381X ;45X ;0.200037X ;0.0100018X ;0.122526X ;3.28158e-06X ;80
451X ;29X ;0.200003X ;0.0100003X ;0.122469X ;3.28205e-06X ;74
630X ;35X ;0.200054X ;0.0100027X ;0.122558X ;3.28128e-06X ;24
435X ;49X ;0.200879X ;0.0100139X ;0.12334X ;3.2776e-06X ;12
